name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Allan Hills 84173,775,Valid,L6,1.7,Found,01/01/1984,-76.82169,158.21104,(-76.82169; 158.21104)
Allan Hills 84174,776,Valid,L6,32.2,Found,01/01/1984,-76.7285,159.26298,(-76.7285; 159.26298)
Allan Hills 84175,777,Valid,H5,35.4,Found,01/01/1984,-76.95201,156.93536,(-76.95201; 156.93536)
Allan Hills 84176,778,Valid,H6,4.6,Found,01/01/1984,-76.69029,159.38336,(-76.69029; 159.38336)
Allan Hills 84177,779,Valid,L5,7.3,Found,01/01/1984,-76.71105,158.74719,(-76.71105; 158.74719)
Allan Hills 84178,780,Valid,H5,0.4,Found,01/01/1984,-76.80065,158.12891,(-76.80065; 158.12891)
Allan Hills 84179,781,Valid,H5,46.5,Found,01/01/1984,-77.05109,157.06566,(-77.05109; 157.06566)
Allan Hills 84180,782,Valid,H6,47.4,Found,01/01/1984,-76.69406,159.35644,(-76.69406; 159.35644)
Allan Hills 84181,783,Valid,L6,32.9,Found,01/01/1984,-76.75729,158.90418,(-76.75729; 158.90418)
Allan Hills 84182,784,Valid,L6,14.2,Found,01/01/1984,-76.99829,156.93829,(-76.99829; 156.93829)
Allan Hills 84183,785,Valid,H5,27.8,Found,01/01/1984,-76.68431,159.3422,(-76.68431; 159.3422)
Allan Hills 84184,786,Valid,H5,42.1,Found,01/01/1984,-76.74662,158.85187,(-76.74662; 158.85187)
Allan Hills 84185,787,Valid,H5,4.8,Found,01/01/1984,-76.82192,158.24979,(-76.82192; 158.24979)
Allan Hills 84186,788,Valid,H6,19.6,Found,01/01/1984,-76.65807,159.32555,(-76.65807; 159.32555)
Allan Hills 84187,789,Valid,H6,25.9,Found,01/01/1984,-76.71976,158.68913,(-76.71976; 158.68913)
Allan Hills 84188,790,Valid,EH3,3.1,Found,01/01/1984,-76.75272,158.76745,(-76.75272; 158.76745)
Allan Hills 84189,791,Valid,H6,8.7,Found,01/01/1984,-76.71444,158.70131,(-76.71444; 158.70131)
Allan Hills 84190,792,Valid,Acapulcoite,7.9,Found,01/01/1984,-76.68361,159.33783,(-76.68361; 159.33783)
Allan Hills 84191,793,Valid,CM2,14,Found,01/01/1984,-76.82219,158.32775,(-76.82219; 158.32775)
Allan Hills 84192,794,Valid,H5,4.2,Found,01/01/1984,-76.68029,159.34296,(-76.68029; 159.34296)
Allan Hills 84193,795,Valid,L6,9.4,Found,01/01/1984,-76.90674,156.82425,(-76.90674; 156.82425)
Allan Hills 84194,796,Valid,H5,3.9,Found,01/01/1984,-76.72364,159.41487,(-76.72364; 159.41487)
Allan Hills 84195,797,Valid,L4,2.1,Found,01/01/1984,-76.69848,159.39858,(-76.69848; 159.39858)
Allan Hills 84196,798,Valid,H5,10.2,Found,01/01/1984,-76.67941,159.34173,(-76.67941; 159.34173)
Allan Hills 84197,799,Valid,L6,8.2,Found,01/01/1984,-76.75722,158.90399,(-76.75722; 158.90399)
Allan Hills 84198,800,Valid,LL6,5.4,Found,01/01/1984,-76.80287,158.16296,(-76.80287; 158.16296)
Allan Hills 84199,801,Valid,H5,27.1,Found,01/01/1984,-76.95666,156.90066,(-76.95666; 156.90066)
Allan Hills 84200,802,Valid,EH3,8.5,Found,01/01/1984,-76.75725,158.78341,(-76.75725; 158.78341)
Allan Hills 84201,803,Valid,H5,6.3,Found,01/01/1984,-76.7574,158.90775,(-76.7574; 158.90775)
Allan Hills 84202,804,Valid,H5,87.5,Found,01/01/1984,-76.71905,158.76475,(-76.71905; 158.76475)
Allan Hills 84203,805,Valid,L6,8.8,Found,01/01/1984,-76.81428,158.14376,(-76.81428; 158.14376)
Allan Hills 84204,806,Valid,H6,24.4,Found,01/01/1984,-76.89116,156.89215,(-76.89116; 156.89215)
Allan Hills 84205,807,Valid,L3.9,25.2,Found,01/01/1984,-76.89031,156.99504,(-76.89031; 156.99504)
Allan Hills 84206,808,Valid,EH3,15.1,Found,01/01/1984,-76.75149,158.76535,(-76.75149; 158.76535)
Allan Hills 84207,809,Valid,L6,4.5,Found,01/01/1984,-76.95208,156.93724,(-76.95208; 156.93724)
Allan Hills 84208,810,Valid,H6,20.9,Found,01/01/1984,-76.96206,156.93099,(-76.96206; 156.93099)
Allan Hills 84209,811,Valid,L5,5.5,Found,01/01/1984,-76.69843,159.39841,(-76.69843; 159.39841)
Allan Hills 84210,812,Valid,L6,8.8,Found,01/01/1984,-76.77051,158.81479,(-76.77051; 158.81479)
Allan Hills 84211,813,Valid,H6,49.2,Found,01/01/1984,-76.90272,156.85108,(-76.90272; 156.85108)
